0.01  	 0.904812118846011 
0.02  	 0.8183796816976575 
0.03  	 0.7397683109788642 
0.04  	 0.6681411072612969 
0.05  	 0.6027489494613557 
0.06  	 0.5429217412442976 
0.07000000000000001  	 0.4880605125894683 
0.08  	 0.43763029408155 
0.09  	 0.3911536893041868 
0.1  	 0.3482050777971571 
0.11  	 0.3084053874627894 
0.12  	 0.2714173811319416 
0.13  	 0.2369414072796047 
0.14  	 0.2047115696650662 
0.15  	 0.1744922750071363 
0.16  	 0.1460751217326162 
0.17  	 0.1192760963936566 
0.18  	 0.09393304757118194 
0.19  	 0.06990340999828848 
0.2  	 0.04706215427778068 
0.21  	 0.02529993995752764 
0.22  	 0.004521451889471603 
0.23  	 -0.01535609824584575 
0.24  	 -0.03440432159817255 
0.25  	 -0.0526848677388955 
0.26  	 -0.07025051948741068 
0.27  	 -0.08714617896757064 
0.28  	 -0.1034097557076236 
0.29  	 -0.1190729665294066 
0.3  	 -0.1341620560080987 
0.31  	 -0.1486984454128038 
0.32  	 -0.1626993172517436 
0.33  	 -0.1761781418358568 
0.34  	 -0.1891451516338359 
0.35  	 -0.2016077686134715 
0.36  	 -0.2135709892426391 
0.37  	 -0.2250377313529234 
0.38  	 -0.2360091466448171 
0.39  	 -0.2464849022312132 
0.4  	 -0.2564634342714884 
0.41  	 -0.2659421764382202 
0.42  	 -0.274917765679171 
0.43  	 -0.2833862274856383 
0.44  	 -0.2913431426518944 
0.45  	 -0.2987837973067824 
0.46  	 -0.3057033178153843 
0.47  	 -0.3120967919840276 
0.48  	 -0.3179593778539451 
0.49  	 -0.3232864012360088 
0.5  	 -0.3280734430196455 
0.51  	 -0.332316417181974 
0.52  	 -0.3360116403271749 
0.53  	 -0.339155893500019 
0.54  	 -0.3417464769403603 
0.55  	 -0.3437812583763504 
0.5600000000000001  	 -0.3452587153923485 
0.5700000000000001  	 -0.3461779723522663 
0.58  	 -0.3465388323097366 
0.59  	 -0.3463418042924405 
0.6  	 -0.3455881263086441 
0.61  	 -0.344279784388985 
0.62  	 -0.3424195279453954 
0.63  	 -0.3400108817013443 
0.64  	 -0.3370581544229858 
0.65  	 -0.3335664446589858 
0.66  	 -0.3295416436774838 
0.67  	 -0.3249904357715669 
0.68  	 -0.3199202960895614 
0.6900000000000001  	 -0.3143394861331669 
0.7000000000000001  	 -0.3082570470547803 
0.71  	 -0.301682790875118 
0.72  	 -0.2946272897332778 
0.73  	 -0.2871018632735601 
0.74  	 -0.2791185642665598 
0.75  	 -0.2706901625561316 
0.76  	 -0.2618301274187294 
0.77  	 -0.2525526084172193 
0.78  	 -0.2428724148274994 
0.79  	 -0.2328049937130414 
0.8  	 -0.2223664067197353 
0.8100000000000001  	 -0.2115733056611161 
0.8200000000000001  	 -0.2004429069621138 
0.8300000000000001  	 -0.1889929650278576 
0.84  	 -0.1772417446027331 
0.85  	 -0.1652079921837952 
0.86  	 -0.1529109065517538 
0.87  	 -0.1403701084820278 
0.88  	 -0.1276056096977932 
0.89  	 -0.1146377811264912 
0.9  	 -0.1014873205209035 
0.91  	 -0.08817521950561243 
0.92  	 -0.07472273010943163 
0.93  	 -0.06115133084420099 
0.9400000000000001  	 -0.04748269239016659 
0.9500000000000001  	 -0.03373864294801024 
0.96  	 -0.01994113331743114 
0.97  	 -0.006112201762010711 
0.98  	 0.007726061280102038 
0.99  	 0.02155154858036881 
1  	 0.03534217153984814 
1.01  	 0.04907589558623435 
1.02  	 0.0627307754895455 
1.03  	 0.07628499053845894 
1.04  	 0.08971687951975445 
1.05  	 0.1030049754438465 
1.06  	 0.1161280399599718 
1.07  	 0.1290650974052504 
1.08  	 0.1417954684325564 
1.09  	 0.1542988031629262 
1.1  	 0.1665551138090866 
1.11  	 0.1785448067176209 
1.12  	 0.1902487137782881 
1.13  	 0.2016481231500875 
1.14  	 0.2127248092548033 
1.15  	 0.2234610619899787 
1.16  	 0.2338397151145556 
1.17  	 0.2438441737617679 
1.18  	 0.253458441035297 
1.19  	 0.2626671436461855 
1.2  	 0.2714555565495546 
1.21  	 0.2798096265417845 
1.22  	 0.2877159947804881 
1.23  	 0.2951620181913397 
1.24  	 0.3021357897276076 
1.25  	 0.3086261574500741 
1.26  	 0.3146227423969205 
1.27  	 0.3201159552150873 
1.28  	 0.3250970115266023 
1.29  	 0.3295579460053915 
1.3  	 0.3334916251421494 
1.31  	 0.3368917586769403 
1.32  	 0.3397529096813316 
1.33  	 0.3420705032740187 
1.34  	 0.3438408339560803 
1.35  	 0.3450610715542115 
1.36  	 0.3457292657625031 
1.37  	 0.345844349275575 
1.38  	 0.3454061395081195 
1.39  	 0.3444153388981718 
1.4  	 0.3428735337936826 
1.41  	 0.3407831919242347 
1.42  	 0.3381476584620025 
1.43  	 0.334971150678309 
1.44  	 0.3312587512043765 
1.45  	 0.3270163999071001 
1.46  	 0.3222508843928813 
1.47  	 0.3169698291547569 
1.48  	 0.3111816833802202 
1.49  	 0.3048957074392757 
1.5  	 0.2981219580743766 
1.51  	 0.2908712723159674 
1.52  	 0.2831552501493916 
1.53  	 0.2749862359609215 
1.54  	 0.2663772987926146 
1.55  	 0.257342211437609 
1.56  	 0.247895428409322 
1.57  	 0.2380520628198136 
1.58  	 0.2278278622043259 
1.59  	 0.2172391833306878 
1.6  	 0.2063029660339018 
1.61  	 0.1950367061177853 
1.62  	 0.1834584273670314 
1.63  	 0.1715866527144761 
1.64  	 0.1594403746097094 
1.65  	 0.1470390246364442 
1.66  	 0.1344024424272588 
1.67  	 0.1215508439254505 
1.68  	 0.1085047890447843 
